"ID","Descrip","n1","n2","n3","n4","n5"
1,"The Whole Truth",49,70,119,217,245
2,"Priceless",67,22,22,60,574
3,"Allied",59,76,102,203,406
4,"The Infiltrator",173,216,518,1339,2073
5,"Miss Sloane",180,60,48,120,793
6,"Room",278,278,973,3196,9172
7,"The Sea of Trees",650,596,921,1409,1842
8,"Megan Leavey",11,23,45,101,947
9,"Silence",110,63,52,89,209
10,"The Only Living Boy in New York",35,41,41,88,382
11,"Brawl in Cell Block 99",150,50,50,128,335
12,"Freedom Writers",35,12,35,151,927
13,"The Curious Case of Benjamin Button",78,52,78,181,907
14,"Creed",240,480,1199,3238,6836
15,"Triple 9",71,43,92,147,190
16,"Taking Chance",58,0,116,637,4982
17,"Rise",91,81,162,263,415
18,"Revolutionary Road",75,50,60,110,206
19,"Sneaky Pete Season 1",573,1146,2291,9738,43533
20,"Julian Fellowes Presents Doctor Thorne Season 1",422,632,1897,4848,13280
21,"Lifted",48,48,129,274,1111
22,"Bosch Season 3",31,31,46,61,1362
23,"The Man in the High Castle Season 1",3337,3337,6674,21134,76750
24,"Ladies in Lavender",23,31,62,139,519
25,"Me Before You",447,149,248,695,3427
26,"Hunted Season 1",139,104,347,936,1942
27,"The Guardian Season 1",21,21,125,437,1477
28,"Poldark Season 2",99,33,66,231,2869
29,"The Inheritance",43,36,71,121,440
30,"The Marvelous Mrs Maisel Season 1",312,156,156,468,14502
31,"Babel",274,175,187,249,362
32,"Tin Star Season 1",390,244,146,179,667
33,"In Secret",61,56,117,132,143
34,"Philip K. Dick's Electric Dreams - Season 1",140,82,58,82,460
35,"The Choice",248,177,248,497,2376
36,"Fortitude Season 2",111,111,92,92,516
