"","personId","disp.sunshine","disp.keebler","disp.nabisco","disp.private","feat.sunshine","feat.keebler","feat.nabisco","feat.private","price.sunshine","price.keebler","price.nabisco","price.private","choice","lastChoice","personChoiceId","choiceId"
"1",1,0,0,0,0,0,0,0,0,0.99000001,1.09,0.99000001,0.70999998,"nabisco","nabisco",1,1
"2",1,1,0,0,0,0,0,0,0,0.49000001,1.09,1.09,0.77999997,"sunshine","nabisco",2,2
"3",1,0,0,0,0,0,0,0,0,1.03,1.09,0.88999999,0.77999997,"nabisco","sunshine",3,3
"4",1,0,0,0,0,0,0,0,0,1.09,1.09,1.1900001,0.63999999,"nabisco","nabisco",4,4
"5",1,0,0,0,0,0,0,0,0,0.88999999,1.09,1.1900001,0.83999997,"nabisco","nabisco",5,5
"6",1,0,0,1,0,0,0,0,0,1.09,1.09,1.29,0.77999997,"sunshine","nabisco",6,6
"7",1,0,0,1,0,0,0,0,0,1.09,1.1900001,1.29,0.77999997,"nabisco","sunshine",7,7
"8",1,0,0,1,0,0,0,0,0,1.09,1.21,1.09,0.77999997,"nabisco","nabisco",8,8
"9",1,1,0,1,0,0,0,0,0,0.79000002,1.21,1.09,0.77999997,"nabisco","nabisco",9,9
"10",1,0,0,1,0,0,0,0,0,1.09,1.13,1.09,0.95999998,"nabisco","nabisco",10,10
"11",1,0,0,0,0,0,0,0,0,1.09,1.21,0.99000001,0.86000001,"nabisco","nabisco",11,11
"12",1,1,0,0,0,0,0,0,0,0.88999999,1.21,0.99000001,0.86000001,"nabisco","nabisco",12,12
"13",1,0,1,1,0,0,0,0,0,1.09,1.09,1.29,0.95999998,"nabisco","nabisco",13,13
"14",1,0,0,0,0,0,0,0,0,1.09,1.09,1.29,0.79000002,"nabisco","nabisco",14,14
"15",1,0,0,1,0,0,0,0,0,1.29,1.04,1.29,0.95999998,"nabisco","nabisco",15,15
"16",2,1,0,1,0,1,0,0,0,0.69,1.05,0.88999999,0.64999998,"sunshine","nabisco",1,16
"17",2,1,0,0,0,1,0,0,0,0.79000002,1.25,1.0599999,0.69,"sunshine","sunshine",2,17
"18",2,1,0,0,0,0,0,0,0,0.79000002,1.25,1.0599999,0.69,"sunshine","sunshine",3,18
"19",2,0,0,1,0,0,0,0,0,0.79000002,1.25,0.99000001,0.69,"sunshine","sunshine",4,19
"20",2,0,0,0,1,0,0,1,1,0.97000003,1.15,1.09,0.56999999,"sunshine","sunshine",5,20
"21",2,1,0,1,0,0,0,0,0,0.79000002,1.35,1.09,0.64999998,"sunshine","sunshine",6,21
"22",2,0,1,0,0,0,0,0,0,0.97000003,0.99000001,1.25,0.60000002,"keebler","sunshine",7,22
"23",2,0,0,0,0,0,0,0,0,1.09,1.35,1.29,0.73000002,"sunshine","keebler",8,23
"24",2,0,0,0,0,0,0,0,0,1.09,1.35,1.15,0.75999999,"sunshine","sunshine",9,24
"25",2,0,1,1,0,0,0,0,0,1.05,1.25,0.99000001,0.58999997,"nabisco","sunshine",10,25
"26",2,0,1,0,0,0,1,0,0,1.05,0.99000001,1.29,0.58999997,"keebler","nabisco",11,26
"27",2,0,0,0,0,0,0,0,0,0.88999999,1.35,1.04,0.88999999,"sunshine","keebler",12,27
"28",2,0,0,1,0,0,0,0,0,1.05,1.29,0.99000001,0.58999997,"nabisco","sunshine",13,28
"29",2,0,0,1,0,0,0,0,0,1.05,1.29,0.99000001,0.64999998,"nabisco","nabisco",14,29
"30",2,0,0,0,0,0,0,0,0,1.05,1.29,1.29,0.64999998,"sunshine","nabisco",15,30
"31",3,0,0,0,0,0,0,0,0,0.99000001,1.09,0.99000001,0.79000002,"private","nabisco",1,31
"32",3,0,0,0,0,0,0,0,0,1.03,1.09,0.88999999,0.55000001,"private","private",2,32
