"","country","iso2c","iso3c","year","GDP","CONS","GFCF","dl_gdp","dl_cons","dl_gfcf","more_than_10","time"
"1","Australia","AU","AUS",1971,4.64767e+11,3.11317e+11,7.9851e+10,0.0392170123810303,0.0406055986587148,0.0317054735796845,TRUE,1
"2","Australia","AU","AUS",1972,4.82935e+11,3.22965e+11,8.2092e+10,0.0383458642887362,0.0367322725604957,0.0276781715027283,TRUE,2
"3","Australia","AU","AUS",1973,4.95584e+11,3.37107e+11,8.4603e+10,0.0258547961066533,0.0428564291576912,0.0301291574094975,TRUE,3
"4","Australia","AU","AUS",1974,5.1593e+11,3.55601e+11,8.8214e+10,0.0402342322305671,0.0534089284083308,0.0417959535988182,TRUE,4
"5","Australia","AU","AUS",1975,5.22821e+11,3.759e+11,8.2559e+10,0.0132680519034167,0.0555138347858559,-0.0662524913183802,TRUE,5
"6","Australia","AU","AUS",1976,5.36369e+11,3.85315e+11,8.5395e+10,0.025583207777693,0.0247380310075478,0.0337743618143591,TRUE,6
"7","Australia","AU","AUS",1977,5.5564e+11,4.01368e+11,8.8717e+10,0.035298245483748,0.0408175306300897,0.0381639771521733,TRUE,7
"8","Australia","AU","AUS",1978,5.60608e+11,4.10206e+11,9.2119e+10,0.00890130652422272,0.0217807603347495,0.0376296912642431,TRUE,8
"9","Australia","AU","AUS",1979,5.83317e+11,4.18121e+11,1.01124e+11,0.0397088688040306,0.0191113917770238,0.0932662670906446,TRUE,9
"10","Australia","AU","AUS",1980,6.01023e+11,4.26068e+11,1.04029e+11,0.0299024254962532,0.0188280936243501,0.0283222198466397,TRUE,10
"11","Australia","AU","AUS",1981,6.2109e+11,4.41239e+11,1.17333e+11,0.0328427956150321,0.0349877208144029,0.120346339592004,TRUE,11
"12","Australia","AU","AUS",1982,6.41728e+11,4.61451e+11,1.25841e+11,0.0326885389327316,0.0447891940329654,0.0700031593004447,TRUE,12
"13","Australia","AU","AUS",1983,6.27469e+11,4.72703e+11,1.13924e+11,-0.0224702705062967,0.0240914115077793,-0.0994876459105143,TRUE,13
"14","Australia","AU","AUS",1984,6.56307e+11,4.8194e+11,1.19712e+11,0.0449343998816651,0.0193523406753151,0.0495572987589448,TRUE,14
"15","Australia","AU","AUS",1985,6.90777e+11,4.9355e+11,1.31216e+11,0.0511883837106666,0.02380454588954,0.091755962128321,TRUE,15
"16","Australia","AU","AUS",1986,7.18622e+11,5.15903e+11,1.38998e+11,0.0395184383081784,0.0442945924502425,0.057614724243912,TRUE,16
