play_id,committing,disadvantaged,decision,committing_position,disadvantaged_position
1,Avery Bradley,Stephen Curry,CNC,G,G
3,Isaiah Thomas,Andre Iguodala,CNC,G,G-F
4,Jae Crowder,Harrison Barnes,INC,F,F
6,Draymond Green,Isaiah Thomas,CC,F,G
7,Avery Bradley,Stephen Curry,CC,G,G
8,Avery Bradley,Stephen Curry,CC,G,G
9,Kenneth Faried,Tyreke Evans,CC,F-C,G-F
10,Eric Gordon,Ty Lawson,CC,G,G
11,Wilson Chandler,Omer Asik,CC,F,C
13,Will Barton,Eric Gordon,CC,G,G
14,Norris Cole,Danilo Gallinari,CC,G,F
15,Dante Cunningham,Wilson Chandler,INC,F,F
18,Wilson Chandler,Jimmer Fredette,CC,F,G
19,Ty Lawson,Norris Cole,CC,G,G
20,Ty Lawson,Tyreke Evans,CC,G,G-F
21,Wilson Chandler,Tyreke Evans,CC,F,G-F
22,Josh Smith,Kevin Love,CNC,F,F-C
23,JR Smith,James Harden,CC,G,G
24,Trevor Ariza,LeBron James,CC,F,F
25,Terrence Jones,Tristan Thompson,CC,F,C-F
26,Tristan Thompson,Josh Smith,CNC,C-F,F
27,Terrence Jones,LeBron James,CNC,F,F
28,Tristan Thompson,Terrence Jones,CC,C-F,F
30,LeBron James,James Harden,CNC,F,G
31,LeBron James,James Harden,INC,F,G
32,Josh Smith,LeBron James,CNC,F,F
33,Trevor Ariza,Tristan Thompson,CNC,F,C-F
34,Kevin Love,Josh Smith,CC,F-C,F
35,James Harden,LeBron James,INC,G,F
36,LeBron James,James Harden,INC,F,G
38,JR Smith,Josh Smith,CNC,G,F
39,Josh Smith,LeBron James,CC,F,F
40,JR Smith,James Harden,CC,G,G
41,LeBron James,James Harden,CC,F,G
43,Deron Williams,Harrison Barnes,CC,G,F
44,Andrew Bogut,Jarrett Jack,CNC,C,G
45,Brook Lopez,Klay Thompson,CNC,C,G
46,Draymond Green,Deron Williams,CNC,F,G
48,Andrew Bogut,Brook Lopez,CC,C,C
49,Andrew Bogut,Brook Lopez,CNC,C,C
50,Brook Lopez,Stephen Curry,CNC,C,G
51,Chris Paul,Andrew Wiggins,CC,G,F
52,Spencer Hawes,Andrew Wiggins,INC,F-C,F
55,Kevin Garnett,DeAndre Jordan,CC,F,C
58,Dahntay Jones,Gary Neal,IC,G-F,G
59,Jordan Hamilton,Gary Neal,CC,G-F,G
60,Ricky Rubio,Chris Paul,CNC,G,G
61,DeAndre Jordan,Adreian Payne,INC,C,F
62,Andrew Wiggins,Austin Rivers,CNC,F,G
63,Ricky Rubio,DeAndre Jordan,CNC,G,C
64,Kevin Garnett,Austin Rivers,CNC,F,G
65,Andrew Wiggins,Dahntay Jones,CC,F,G-F
66,Paul Millsap,Terrence Jones,CNC,F,F
67,Al Horford,Terrence Jones,CNC,C-F,F
68,Patrick Beverley,Jeff Teague,CNC,G,G
69,Al Horford,Trevor Ariza,CNC,C-F,F
70,DeMarre Carroll,Terrence Jones,CC,F,F
71,Donatas Motiejunas,Paul Millsap,CNC,F-C,F
73,Trevor Ariza,DeMarre Carroll,CC,F,F
74,Patrick Beverley,Paul Millsap,CC,G,F
75,Corey Brewer,Jeff Teague,CC,G-F,G
76,Jason Terry,Dennis Schroder,CC,G,G
77,Bradley Beal,Nikola Mirotic,INC,G,F
78,Tony Snell,John Wall,CNC,G,G
79,Nikola Mirotic,John Wall,CNC,F,G
81,John Wall,Aaron Brooks,INC,G,G
82,Marcin Gortat,Nikola Mirotic,CC,C,F
83,Joakim Noah,Otto Porter Jr.,CC,F-C,F
84,Garrett Temple,Pau Gasol,CC,G-F,C-F
85,Marcin Gortat,Tony Snell,INC,C,G
86,Jeremy Lin,Michael Kidd-Gilchrist,CC,G,F
88,Jordan Hill,Michael Kidd-Gilchrist,CNC,F-C,F
89,Wesley Johnson,Mo Williams,CC,F-G,G
90,Michael Kidd-Gilchrist,Jeremy Lin,CC,F,G
91,Jordan Clarkson,Gerald Henderson,CC,G,G
93,Wesley Johnson,Mo Williams,CC,F-G,G
94,Jordan Hill,Cody Zeller,CNC,F-C,F-C
95,Jordan Clarkson,Mo Williams,CC,G,G
97,Tony Allen,Corey Brewer,CC,G-F,G-F
98,Courtney Lee,James Harden,CC,G,G
99,James Harden,Courtney Lee,CNC,G,G
100,Corey Brewer,Marc Gasol,CNC,G-F,C
102,Corey Brewer,Courtney Lee,CC,G-F,G
103,Courtney Lee,Terrence Jones,INC,G,F
104,Marc Gasol,Terrence Jones,CNC,C,F
106,Zach Randolph,James Harden,INC,F,G
107,Spencer Hawes,Nicolas Batum,CNC,F-C,G-F
108,Damian Lillard,Chris Paul,CNC,G,G
109,DeAndre Jordan,Wesley Matthews,CNC,C,G
113,Chris Paul,LaMarcus Aldridge,CC,G,C-F
115,Hedo Turkoglu,Nicolas Batum,CC,F,G-F
116,Austin Rivers,Nicolas Batum,CC,G,G-F
117,JJ Redick,Damian Lillard,CNC,G,G
119,DeAndre Jordan,LaMarcus Aldridge,CNC,C,C-F
120,JJ Redick,Wesley Matthews,INC,G,G
121,Nicolas Batum,JJ Redick,CNC,G-F,G
122,Nicolas Batum,DeAndre Jordan,INC,G-F,C
123,Wesley Matthews,Austin Rivers,CC,G,G
124,Austin Rivers,Damian Lillard,INC,G,G
125,Henry Walker,Jordan Clarkson,CC,F,G
126,Hassan Whiteside,Jordan Clarkson,CC,C,G
127,Wayne Ellington,Dwyane Wade,CC,G,G
128,Jordan Hill,Goran Dragic,CNC,F-C,G
129,Dwyane Wade,Jordan Clarkson,CNC,G,G
130,Jordan Hill,Hassan Whiteside,IC,F-C,C
131,Jordan Clarkson,Hassan Whiteside,CC,G,C
133,Omer Asik,Greg Monroe,CNC,C,C
134,Tyreke Evans,Kentavious Caldwell-Pope,CNC,G-F,G
135,Reggie Jackson,Tyreke Evans,CNC,G,G-F
136,Andre Drummond,Anthony Davis,CC,C,F-C
137,Reggie Jackson,Tyreke Evans,CC,G,G-F
138,Serge Ibaka,Isaiah Canaan,CC,F,G
139,Isaiah Canaan,Russell Westbrook,CC,G,G
141,Serge Ibaka,Jerami Grant,CNC,F,F
142,Serge Ibaka,Nerlens Noel,CNC,F,C-F
143,Jerami Grant,Russell Westbrook,CNC,F,G
145,Nerlens Noel,D.J. Augustin,CNC,C-F,G
149,Dion Waiters,Nerlens Noel,CC,G,C-F
150,Luc Mbah a Moute,D.J. Augustin,CNC,F,G
151,Serge Ibaka,Luc Mbah a Moute,CC,F,F
152,D.J. Augustin,Luc Mbah a Moute,CNC,G,F
153,Nerlens Noel,Russell Westbrook,CC,C-F,G
154,Serge Ibaka,Nerlens Noel,CC,F,C-F
155,D.J. Augustin,Jason Richardson,CC,G,G
156,Jerami Grant,Russell Westbrook,CC,F,G
157,Russell Westbrook,Jason Richardson,CC,G,G
158,Jerami Grant,Russell Westbrook,CC,F,G
160,Hollis Thompson,Russell Westbrook,CC,G-F,G
161,Jonas Valanciunas,LeBron James,CNC,C,F
162,Lou Williams,Kyrie Irving,CC,G,G
163,Lou Williams,LeBron James,CC,G,F
165,Greivis Vasquez,Kyrie Irving,CC,G,G
166,Lou Williams,LeBron James,CC,G,F
167,Kyrie Irving,Greivis Vasquez,CNC,G,G
169,E'Twaun Moore,Russell Westbrook,CNC,G,G
170,Andre Roberson,Aaron Brooks,CNC,G-F,G
171,Enes Kanter,Nikola Mirotic,CNC,C,F
172,E'Twaun Moore,Russell Westbrook,CC,G,G
174,Pau Gasol,Andre Roberson,CNC,C-F,G-F
175,Serge Ibaka,Nikola Mirotic,CC,F,F
177,Russell Westbrook,E'Twaun Moore,CNC,G,G
180,Russell Westbrook,Nikola Mirotic,CC,G,F
181,PJ Tucker,Cory Jefferson,CNC,F,F
182,Thaddeus Young,Brandon Knight,CC,F,G
