,idcase,alt_id,choice,depvar,income,agehed,rooms,region,installation_costs,operating_costs
0,1,1,1,gc,7,25,6,ncostl,866.0,199.69
1,1,2,0,gc,7,25,6,ncostl,962.64,151.72
2,1,3,0,gc,7,25,6,ncostl,859.9,553.34
3,1,4,0,gc,7,25,6,ncostl,995.76,505.6
4,1,5,0,gc,7,25,6,ncostl,1135.5,237.88
5,2,1,1,gc,5,60,5,scostl,727.93,168.66
6,2,2,0,gc,5,60,5,scostl,758.89,168.66
7,2,3,0,gc,5,60,5,scostl,796.82,520.24
8,2,4,0,gc,5,60,5,scostl,894.69,486.49
9,2,5,0,gc,5,60,5,scostl,968.9,199.19
10,3,1,1,gc,4,65,2,ncostl,599.48,165.58
11,3,2,0,gc,4,65,2,ncostl,783.05,137.8
12,3,3,0,gc,4,65,2,ncostl,719.86,439.06
13,3,4,0,gc,4,65,2,ncostl,900.11,404.74
14,3,5,0,gc,4,65,2,ncostl,1048.3,171.47
15,4,1,0,er,2,50,4,scostl,835.17,180.88
16,4,2,0,er,2,50,4,scostl,793.06,147.14
17,4,3,0,er,2,50,4,scostl,761.25,483.0
18,4,4,1,er,2,50,4,scostl,831.04,425.22
19,4,5,0,er,2,50,4,scostl,1048.7,222.95
20,5,1,0,er,2,25,6,valley,755.59,174.91
21,5,2,0,er,2,25,6,valley,846.29,138.9
22,5,3,0,er,2,25,6,valley,858.86,404.41
23,5,4,1,er,2,25,6,valley,985.64,389.52
24,5,5,0,er,2,25,6,valley,883.05,178.49
25,6,1,1,gc,6,65,7,scostl,666.11,135.67
26,6,2,0,gc,6,65,7,scostl,841.71,140.97
27,6,3,0,gc,6,65,7,scostl,693.74,398.22
28,6,4,0,gc,6,65,7,scostl,862.56,371.04
29,6,5,0,gc,6,65,7,scostl,859.18,209.27
30,7,1,1,gc,4,35,2,scostl,670.1,191.84
31,7,2,0,gc,4,35,2,scostl,941.25,147.57
32,7,3,0,gc,4,35,2,scostl,633.63,478.36
33,7,4,0,gc,4,35,2,scostl,952.3,445.97
34,7,5,0,gc,4,35,2,scostl,1086.8,236.99
35,8,1,1,gc,6,20,7,valley,778.03,187.61
36,8,2,0,gc,6,20,7,valley,1022.1,158.66
37,8,3,0,gc,6,20,7,valley,813.33,502.4
38,8,4,0,gc,6,20,7,valley,1012.3,464.77
39,8,5,0,gc,6,20,7,valley,990.21,203.78
40,9,1,1,gc,5,60,6,scostl,928.34,168.7
41,9,2,0,gc,5,60,6,scostl,1212.4,189.81
42,9,3,0,gc,5,60,6,scostl,875.7,552.98
43,9,4,0,gc,5,60,6,scostl,1024.8,451.76
44,9,5,0,gc,5,60,6,scostl,1232.5,269.88
45,10,1,1,gc,7,20,2,scostl,682.88,176.14
46,10,2,0,gc,7,20,2,scostl,1044.8,136.43
47,10,3,0,gc,7,20,2,scostl,775.86,532.22
48,10,4,0,gc,7,20,2,scostl,874.49,472.39
49,10,5,0,gc,7,20,2,scostl,878.09,217.34
50,11,1,1,gc,5,60,6,mountn,858.26,159.92
51,11,2,0,gc,5,60,6,mountn,815.69,134.55
52,11,3,0,gc,5,60,6,mountn,792.29,428.1
53,11,4,0,gc,5,60,6,mountn,774.69,380.78
54,11,5,0,gc,5,60,6,mountn,1076.0,230.16
55,12,1,1,gc,7,25,4,mountn,1021.7,214.8
56,12,2,0,gc,7,25,4,mountn,1007.1,190.79
57,12,3,0,gc,7,25,4,mountn,944.35,568.33
58,12,4,0,gc,7,25,4,mountn,1325.0,475.72
59,12,5,0,gc,7,25,4,mountn,1249.6,246.0
60,13,1,1,gc,5,35,3,ncostl,651.83,127.4
61,13,2,0,gc,5,35,3,ncostl,823.59,147.48
62,13,3,0,gc,5,35,3,ncostl,797.34,406.71
63,13,4,0,gc,5,35,3,ncostl,880.8,338.03
64,13,5,0,gc,5,35,3,ncostl,792.92,197.94
65,14,1,0,gr,2,30,6,valley,568.44,119.45
66,14,2,1,gr,2,30,6,valley,617.43,111.86
67,14,3,0,gr,2,30,6,valley,687.18,365.92
68,14,4,0,gr,2,30,6,valley,718.72,395.14
69,14,5,0,gr,2,30,6,valley,775.54,173.53
70,15,1,1,gc,3,35,2,valley,602.51,139.54
71,15,2,0,gc,3,35,2,valley,815.95,122.44
72,15,3,0,gc,3,35,2,valley,594.0,424.71
73,15,4,0,gc,3,35,2,valley,736.77,322.95
74,15,5,0,gc,3,35,2,valley,934.23,180.51
75,16,1,0,gr,4,35,4,scostl,768.08,198.39
76,16,2,1,gr,4,35,4,scostl,1114.1,160.99
77,16,3,0,gr,4,35,4,scostl,801.2,443.16
78,16,4,0,gr,4,35,4,scostl,1092.4,380.19
79,16,5,0,gr,4,35,4,scostl,1108.4,229.37
80,17,1,0,hp,6,55,2,scostl,723.92,160.4
81,17,2,0,hp,6,55,2,scostl,929.7,147.08
82,17,3,0,hp,6,55,2,scostl,821.79,432.58
83,17,4,0,hp,6,55,2,scostl,969.64,446.38
84,17,5,1,hp,6,55,2,scostl,1058.0,209.57
85,18,1,0,hp,7,35,4,scostl,630.81,147.92
86,18,2,0,hp,7,35,4,scostl,727.37,103.69
87,18,3,0,hp,7,35,4,scostl,696.89,362.99
88,18,4,0,hp,7,35,4,scostl,853.82,448.43
89,18,5,1,hp,7,35,4,scostl,779.94,165.22
90,19,1,0,er,6,65,2,ncostl,555.44,106.53
91,19,2,0,er,6,65,2,ncostl,775.24,106.52
92,19,3,0,er,6,65,2,ncostl,572.3,341.16
93,19,4,1,er,6,65,2,ncostl,664.22,290.74
94,19,5,0,er,6,65,2,ncostl,707.79,139.89
95,20,1,1,gc,7,50,4,ncostl,899.87,213.84
96,20,2,0,gc,7,50,4,ncostl,1214.2,186.6
97,20,3,0,gc,7,50,4,ncostl,925.62,561.69
98,20,4,0,gc,7,50,4,ncostl,1140.0,528.22
99,20,5,0,gc,7,50,4,ncostl,1155.3,251.16
100,21,1,0,ec,5,40,5,scostl,657.54,176.15
101,21,2,0,ec,5,40,5,scostl,892.16,148.93
102,21,3,1,ec,5,40,5,scostl,788.07,440.99
103,21,4,0,ec,5,40,5,scostl,799.52,286.29
104,21,5,0,ec,5,40,5,scostl,1083.1,203.87
105,22,1,0,gr,5,35,4,scostl,761.29,199.84
106,22,2,1,gr,5,35,4,scostl,1034.8,155.97
107,22,3,0,gr,5,35,4,scostl,934.75,496.77
108,22,4,0,gr,5,35,4,scostl,1009.5,414.79
109,22,5,0,gr,5,35,4,scostl,1192.1,233.74
110,23,1,1,gc,4,20,7,scostl,575.07,109.94
111,23,2,0,gc,4,20,7,scostl,865.23,130.64
112,23,3,0,gc,4,20,7,scostl,619.65,417.32
113,23,4,0,gc,4,20,7,scostl,880.97,362.24
114,23,5,0,gc,4,20,7,scostl,879.44,196.12
115,24,1,0,hp,5,35,3,scostl,830.08,188.69
116,24,2,0,hp,5,35,3,scostl,920.85,146.41
117,24,3,0,hp,5,35,3,scostl,805.29,599.15
118,24,4,0,hp,5,35,3,scostl,806.59,389.6
119,24,5,1,hp,5,35,3,scostl,1162.8,220.51
120,25,1,1,gc,4,45,3,ncostl,974.55,206.99
121,25,2,0,gc,4,45,3,ncostl,1047.2,174.96
122,25,3,0,gc,4,45,3,ncostl,943.05,577.2
123,25,4,0,gc,4,45,3,ncostl,1130.5,510.66
124,25,5,0,gc,4,45,3,ncostl,1196.8,217.19
125,26,1,0,gr,2,30,7,scostl,737.47,207.36
126,26,2,1,gr,2,30,7,scostl,1042.7,145.48
127,26,3,0,gr,2,30,7,scostl,882.55,527.88
128,26,4,0,gr,2,30,7,scostl,1187.9,455.8
129,26,5,0,gr,2,30,7,scostl,1055.0,265.62
130,27,1,1,gc,4,35,7,scostl,803.75,172.26
131,27,2,0,gc,4,35,7,scostl,921.48,162.25
132,27,3,0,gc,4,35,7,scostl,869.65,486.99
133,27,4,0,gc,4,35,7,scostl,942.49,427.11
134,27,5,0,gc,4,35,7,scostl,962.02,205.72
135,28,1,0,ec,6,60,4,scostl,872.17,185.3
136,28,2,0,ec,6,60,4,scostl,927.82,182.66
137,28,3,1,ec,6,60,4,scostl,991.82,584.83
138,28,4,0,ec,6,60,4,scostl,913.32,473.1
139,28,5,0,ec,6,60,4,scostl,1117.6,238.28
140,29,1,0,ec,4,25,3,ncostl,690.95,147.89
141,29,2,0,ec,4,25,3,ncostl,587.58,135.81
142,29,3,1,ec,4,25,3,ncostl,724.01,443.82
143,29,4,0,ec,4,25,3,ncostl,993.25,440.21
144,29,5,0,ec,4,25,3,ncostl,981.73,191.44
145,30,1,1,gc,7,55,7,ncostl,720.41,174.76
146,30,2,0,gc,7,55,7,ncostl,969.83,164.62
147,30,3,0,gc,7,55,7,ncostl,805.08,540.32
