youtube;facebook;newspaper;sales
276,12;45,36;83,04;26,52
53,40;47,16;54,12;12,48
20,64;55,08;83,16;11,16
181,80;49,56;70,20;22,20
216,96;12,96;70,08;15,48
10,44;58,68;90,00;8,64
69,00;39,36;28,20;14,16
144,24;23,52;13,92;15,84
10,32;2,52;1,20;5,76
239,76;3,12;25,44;12,72
79,32;6,96;29,04;10,32
257,64;28,80;4,80;20,88
28,56;42,12;79,08;11,04
117,00;9,12;8,64;11,64
244,92;39,48;55,20;22,80
234,48;57,24;63,48;26,88
81,36;43,92;136,80;15,00
337,68;47,52;66,96;29,28
83,04;24,60;21,96;13,56
176,76;28,68;22,92;17,52
262,08;33,24;64,08;21,60
284,88;6,12;28,20;15,00
15,84;19,08;59,52;6,72
273,96;20,28;31,44;18,60
74,76;15,12;21,96;11,64
315,48;4,20;23,40;14,40
171,48;35,16;15,12;18,00
288,12;20,04;27,48;19,08
298,56;32,52;27,48;22,68
84,72;19,20;48,96;12,60
351,48;33,96;51,84;25,68
135,48;20,88;46,32;14,28
116,64;1,80;36,00;11,52
318,72;24,00;0,36;20,88
114,84;1,68;8,88;11,40
348,84;4,92;10,20;15,36
320,28;52,56;6,00;30,48
89,64;59,28;54,84;17,64
51,72;32,04;42,12;12,12
273,60;45,24;38,40;25,80
243,00;26,76;37,92;19,92
212,40;40,08;46,44;20,52
352,32;33,24;2,16;24,84
248,28;10,08;31,68;15,48
30,12;30,84;51,96;10,20
210,12;27,00;37,80;17,88
107,64;11,88;42,84;12,72
287,88;49,80;22,20;27,84
272,64;18,96;59,88;17,76
80,28;14,04;44,16;11,64
239,76;3,72;41,52;13,68
120,48;11,52;4,32;12,84
259,68;50,04;47,52;27,12
219,12;55,44;70,44;25,44
315,24;34,56;19,08;24,24
238,68;59,28;72,00;28,44
8,76;33,72;49,68;6,60
163,44;23,04;19,92;15,84
252,96;59,52;45,24;28,56
252,84;35,40;11,16;22,08
64,20;2,40;25,68;9,72
313,56;51,24;65,64;29,04
287,16;18,60;32,76;18,84
123,24;35,52;10,08;16,80
157,32;51,36;34,68;21,60
82,80;11,16;1,08;11,16
37,80;29,52;2,64;11,40
167,16;17,40;12,24;16,08
