"x","y","elevation","forest","water"
910942,54276,340,6,0
910942,55276,340,11,1
911942,54276,380,4,0
911942,55276,390,72,3
911942,56276,357,9,7
911942,57276,357,5,5
911942,61276,500,0,0
911942,62276,472,43,0
911942,63276,462,6,0
911942,64276,472,0,0
912942,55276,401,30,0
912942,56276,362,12,0
912942,57276,367,4,0
912942,58276,379,5,7
912942,59276,382,12,9
912942,61276,483,0,0
912942,62276,464,30,0
912942,63276,456,14,0
912942,64276,450,4,0
913942,56276,390,2,1
913942,57276,414,8,0
913942,58276,411,2,0
913942,59276,364,7,9
913942,60276,394,7,4
913942,61276,422,2,0
913942,62276,435,28,3
913942,63276,416,33,1
913942,64276,420,22,1
913942,65276,430,2,0
914942,56276,408,5,0
914942,57276,425,1,0
914942,58276,426,0,0
914942,59276,415,21,8
914942,60276,369,15,2
914942,61276,393,36,5
914942,62276,425,27,5
914942,63276,455,27,0
914942,64276,449,60,0
914942,65276,428,29,0
915942,55276,431,1,0
915942,56276,436,6,1
915942,57276,436,0,0
915942,58276,431,6,0
915942,59276,428,16,0
915942,60276,365,27,16
915942,61276,391,1,0
915942,62276,418,18,0
915942,63276,461,0,0
915942,64276,487,4,0
915942,65276,451,13,0
915942,66276,436,3,0
916942,55276,447,5,0
916942,56276,445,0,0
916942,57276,439,1,1
916942,58276,442,0,0
916942,59276,434,4,0
916942,60276,406,37,2
916942,61276,372,30,17
916942,62276,394,8,22
916942,63276,416,3,0
916942,64276,456,1,0
916942,65276,479,1,0
916942,66276,448,0,0
917942,55276,457,0,0
917942,56276,449,0,0
917942,57276,452,7,0
917942,58276,453,20,0
917942,59276,433,5,0
917942,60276,412,38,0
917942,61276,376,9,17
917942,62276,377,5,15
917942,63276,412,55,1
917942,64276,417,2,2
917942,65276,435,1,0
917942,66276,455,0,0
918942,57276,421,2,0
918942,58276,453,0,0
918942,59276,441,0,0
918942,60276,406,10,0
918942,61276,398,40,21
918942,62276,384,3,0
918942,63276,419,52,0
918942,64276,426,0,0
918942,65276,420,0,0
918942,66276,436,2,0
918942,67276,450,17,0
919942,56276,424,3,0
919942,57276,416,5,3
919942,58276,422,0,1
919942,59276,464,0,0
919942,60276,417,2,0
919942,61276,402,37,3
919942,62276,388,33,19
919942,63276,422,7,0
919942,64276,433,0,0
919942,65276,435,1,0
919942,66276,421,6,0
919942,67276,426,6,0
919942,86276,1306,17,0
919942,87276,1311,5,0
920942,56276,441,0,0
920942,57276,433,0,0
920942,58276,408,4,2
920942,59276,425,2,0
920942,60276,428,0,0
920942,61276,412,51,5
920942,62276,397,19,14
920942,63276,389,17,13
920942,64276,437,1,0
920942,65276,435,1,0
920942,66276,435,1,0
920942,67276,425,7,1
920942,86276,1348,6,0
920942,87276,1388,34,0
920942,88276,1290,16,0
920942,89276,1236,0,0
920942,90276,1235,34,0
920942,91276,1208,19,0
920942,92276,1169,7,0
921942,56276,466,0,0
921942,57276,439,0,0
921942,58276,406,0,0
921942,59276,401,5,2
921942,60276,426,0,0
921942,61276,396,30,10
921942,62276,399,10,5
921942,63276,406,41,10
921942,64276,416,12,0
921942,65276,425,1,0
921942,66276,429,3,0
921942,67276,429,0,0
921942,85276,1389,8,0
921942,86276,1473,21,0
921942,87276,1467,67,0
921942,88276,1411,39,0
921942,89276,1248,13,0
921942,90276,1231,69,0
921942,91276,1280,54,0
921942,92276,1223,26,0
921942,93276,1192,9,0
922942,56276,471,0,0
922942,57276,459,0,0
922942,58276,417,0,0
922942,59276,399,4,0
922942,60276,415,4,0
922942,61276,419,2,0
922942,62276,405,15,11
922942,63276,450,0,0
922942,64276,427,1,0
922942,65276,425,1,0
922942,66276,421,0,0
922942,67276,420,0,0
922942,69276,433,0,0
922942,70276,452,0,1
922942,71276,466,6,0
922942,72276,472,22,0
922942,84276,1210,17,0
922942,85276,1301,71,0
922942,86276,1461,64,0
922942,87276,1450,13,0
922942,88276,1509,39,0
922942,89276,1331,87,0
922942,90276,1208,19,0
922942,91276,1288,76,0
922942,92276,1295,25,0
922942,93276,1356,55,0
922942,94276,1308,61,0
922942,95276,1186,18,0
923942,55276,490,0,0
923942,56276,477,0,0
923942,57276,463,0,0
923942,58276,419,0,0
923942,59276,397,0,0
923942,60276,390,4,0
923942,61276,407,2,0
923942,62276,399,15,14
923942,63276,416,0,0
923942,64276,433,1,0
923942,65276,450,0,0
923942,66276,433,1,0
923942,67276,414,0,0
923942,68276,416,0,0
923942,69276,425,2,0
923942,70276,434,1,0
923942,71276,445,21,0
923942,72276,447,55,0
923942,73276,458,50,0
923942,74276,461,11,0
923942,75276,466,2,0
923942,84276,1022,72,0
923942,85276,1201,89,0
923942,86276,1256,99,0
923942,87276,1443,66,0
923942,88276,1409,54,0
923942,89276,1290,81,0
923942,90276,1215,67,0
923942,91276,1297,67,0
923942,92276,1360,63,0
923942,93276,1456,26,0
923942,94276,1507,45,0
923942,95276,1339,86,0
923942,96276,1226,48,0
923942,97276,1154,12,0
923942,103276,1273,11,0
923942,104276,1310,44,0
924942,55276,486,0,0
924942,56276,470,1,0
924942,57276,450,10,0
924942,58276,422,4,0
924942,59276,408,4,0
924942,60276,385,0,0
924942,61276,376,0,7
924942,62276,375,1,11
924942,63276,403,0,0
924942,64276,408,0,0
924942,65276,438,1,0
924942,66276,450,2,0
924942,67276,409,15,0
924942,68276,407,10,0
924942,69276,425,28,0
924942,70276,425,8,0
924942,71276,422,42,2
924942,72276,433,83,1
924942,73276,444,88,0
924942,74276,455,50,0
924942,75276,470,5,0
924942,76276,468,12,3
924942,77276,463,2,0
924942,83276,626,39,0
924942,84276,746,100,0
924942,85276,931,100,0
924942,86276,1141,100,0
924942,87276,1321,92,0
924942,88276,1343,60,0
924942,89276,1204,71,0
