year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1884,5.0,4.2,5.1,6.2,9.7,12.5,14.5,15.3,13.0,8.3,4.6,3.3
1885,2.0,4.2,3.5,6.6,7.6,12.3,14.5,12.4,10.9,6.2,4.8,3.0
1886,1.1,0.8,2.9,6.3,8.8,11.9,14.2,14.1,12.0,9.9,5.7,1.2
1887,2.1,3.5,3.3,5.4,8.7,14.3,15.6,14.0,10.6,6.4,3.9,2.1
1888,2.8,1.1,2.1,5.3,9.2,11.8,12.3,12.8,11.2,7.6,6.5,4.3
1889,3.0,2.2,3.8,6.0,11.4,14.0,13.6,13.4,11.5,7.6,6.1,3.1
1890,4.8,2.7,5.1,6.2,10.5,12.4,13.0,13.1,13.6,8.9,5.0,-0.1
1891,1.3,4.4,2.9,5.1,8.2,13.2,13.7,13.0,12.8,8.4,4.6,3.5
1892,1.5,2.5,1.9,6.2,9.9,11.7,12.8,13.6,10.7,6.0,5.8,1.4
1893,1.6,3.6,6.2,8.9,11.5,14.1,14.8,15.8,11.6,8.7,4.1,4.1
1894,2.4,3.8,5.6,8.5,7.9,12.3,14.6,13.2,10.6,8.0,6.9,4.2
1895,-0.7,-2.3,4.2,7.1,10.9,13.1,13.7,14.3,14.2,6.2,6.1,3.0
1896,3.9,4.2,5.4,7.9,11.0,14.2,14.6,13.0,11.7,5.9,4.2,3.0
1897,0.9,4.5,5.2,5.8,8.6,13.3,14.9,14.9,10.9,9.1,6.6,3.9
1898,5.7,3.6,3.5,7.3,9.1,12.3,13.8,14.7,13.8,10.2,6.0,6.1
1899,3.4,4.0,4.2,6.5,8.5,14.0,15.5,16.3,12.0,8.6,7.8,1.8
1900,3.5,1.2,2.7,7.1,9.1,13.2,15.7,13.8,12.4,8.2,5.9,6.1
1901,2.9,1.6,3.4,7.2,10.4,12.3,16.3,14.4,12.8,8.3,4.5,2.5
1902,3.6,0.8,5.5,6.5,7.5,12.1,13.0,12.8,11.8,8.5,6.3,3.8
1903,3.0,5.7,5.5,5.4,9.6,11.6,13.6,12.8,11.8,9.1,5.5,2.5
1904,3.4,2.4,3.4,7.5,9.4,12.2,15.1,13.7,11.6,8.8,4.7,3.5
1905,3.4,4.1,5.6,6.0,9.7,13.5,15.6,13.4,11.3,6.4,4.3,4.7
1906,4.3,2.2,3.9,6.1,8.9,12.9,14.1,15.2,12.8,9.5,6.6,2.5
1907,3.0,2.1,5.4,6.5,9.1,11.1,13.0,12.8,12.5,8.7,5.6,3.8
1908,2.2,4.4,3.3,5.0,10.9,12.8,14.3,13.3,11.8,11.2,6.6,3.6
1909,2.9,2.7,2.5,7.3,9.5,11.0,13.3,14.1,10.9,9.0,4.0,2.6
1910,2.5,3.8,5.2,5.9,9.9,13.1,13.1,14.0,11.6,9.7,2.7,5.3
1911,3.3,3.8,4.2,6.5,11.4,13.0,16.0,16.3,12.5,8.2,5.0,5.1
1912,2.8,4.1,6.0,7.8,10.4,12.4,14.4,11.7,10.2,7.5,5.3,5.3
1913,3.4,3.9,4.8,6.7,10.0,12.7,13.5,14.0,12.6,9.9,7.2,4.1
1914,2.8,5.5,4.8,8.6,9.4,13.1,14.6,14.8,12.2,9.4,5.8,3.4
1915,3.0,3.1,4.2,6.8,9.3,12.8,13.4,14.1,12.2,8.2,2.6,3.8
1916,6.3,2.7,2.4,7.0,9.9,10.6,13.9,14.9,11.9,9.3,6.0,1.9
1917,1.1,1.0,2.4,4.3,10.8,13.2,14.6,14.4,12.7,6.5,6.9,1.9
1918,2.6,5.4,4.9,5.9,11.3,11.9,14.0,14.6,10.4,8.3,4.8,5.5
1919,2.3,1.1,2.5,6.2,11.6,12.5,12.9,14.2,11.6,7.1,2.3,4.1
1920,3.8,5.0,5.8,6.8,10.2,12.9,12.9,12.5,11.8,9.7,6.4,3.4
1921,5.7,4.2,5.8,7.3,10.0,13.0,16.2,13.8,12.8,11.6,4.4,5.7
1922,2.9,3.6,4.0,4.6,10.8,12.2,12.3,12.3,11.0,7.6,5.3,4.8
1923,4.9,4.5,5.6,6.3,8.0,11.2,15.6,13.6,11.1,8.6,2.7,3.0
1924,3.8,2.8,3.2,6.0,9.7,12.3,13.9,13.0,11.9,9.1,6.4,6.0
1925,4.6,3.9,4.1,6.3,10.1,13.4,15.3,14.2,10.4,9.4,3.3,2.0
1926,3.8,5.5,5.4,8.1,8.9,12.3,15.4,14.9,13.0,6.9,5.0,3.8
1927,3.7,3.7,6.1,6.7,9.4,10.8,14.5,14.4,11.2,9.3,5.2,1.5
1928,4.2,4.8,4.9,7.1,9.6,11.2,14.3,13.9,11.5,9.0,6.6,3.1
1929,1.0,0.3,5.6,5.6,9.9,11.8,14.4,13.8,13.9,8.4,5.7,4.7
1930,4.2,1.7,4.0,7.1,9.5,13.6,14.0,14.3,12.4,9.3,5.1,3.8
1931,2.6,2.9,3.0,6.6,9.9,12.5,14.0,13.1,10.7,8.1,6.8,5.0
1932,5.4,3.1,4.1,5.6,9.1,12.7,14.6,15.4,11.7,7.7,5.7,4.8
1933,1.9,3.2,6.3,7.9,10.5,14.0,16.3,15.9,13.6,9.2,5.0,1.8
1934,3.9,3.8,4.0,6.5,9.8,13.4,16.3,13.9,13.0,9.1,5.3,6.8
1935,4.0,4.6,5.7,6.8,9.0,13.2,15.4,15.1,12.1,8.3,5.6,2.1
1936,2.6,1.9,5.8,5.4,10.1,13.2,14.1,14.8,13.1,8.5,4.9,4.5
